Channel Id,Channel Url,Channel Title
UC3kTDwUDoyJBOOgsGH2elcg,http://www.youtube.com/channel/UC3kTDwUDoyJBOOgsGH2elcg,Zebra Corner
UC3oJs1zKwlttqKvWQMA-xkQ,http://www.youtube.com/channel/UC3oJs1zKwlttqKvWQMA-xkQ,Dustin Brett
UC3ogrx6d9oohf6D42G44j1A,http://www.youtube.com/channel/UC3ogrx6d9oohf6D42G44j1A,Terrible Writing Advice
UC4Fu_PxKyYXszbDDhxrbxoA,http://www.youtube.com/channel/UC4Fu_PxKyYXszbDDhxrbxoA,tehsiewdai
UC4G10tk3AHFuyMIuD3rHOBA,http://www.youtube.com/channel/UC4G10tk3AHFuyMIuD3rHOBA,RDCworld1
UC4K10PNjqgGLKA3lo5V8KdQ,http://www.youtube.com/channel/UC4K10PNjqgGLKA3lo5V8KdQ,Above The Noise
UC4QZ_LsYcvcq7qOsOhpAX4A,http://www.youtube.com/channel/UC4QZ_LsYcvcq7qOsOhpAX4A,ColdFusion
UC4V_jMdRbbTrmBVJB6FDzgw,http://www.youtube.com/channel/UC4V_jMdRbbTrmBVJB6FDzgw,Unlearning Economics
UC4a9LfdavRlVMaSSWFdIciA,http://www.youtube.com/channel/UC4a9LfdavRlVMaSSWFdIciA,RobWords
UC4gEs2SNPr8GBNcdbQGnLjg,http://www.youtube.com/channel/UC4gEs2SNPr8GBNcdbQGnLjg,MDrepairs
UC4gHQVTdWoU40Lm-dqhe0UQ,http://www.youtube.com/channel/UC4gHQVTdWoU40Lm-dqhe0UQ,Chill Goblin
UC4pNDofN0Xh-z2bhh62g8Ow,http://www.youtube.com/channel/UC4pNDofN0Xh-z2bhh62g8Ow,Not What You Think
UC4qBrLQgM_WIrY4ImuSNRPA,http://www.youtube.com/channel/UC4qBrLQgM_WIrY4ImuSNRPA,The Flip Flop Traveller
UC52kszkc08-acFOuogFl5jw,http://www.youtube.com/channel/UC52kszkc08-acFOuogFl5jw,Tibees
UC54SLBnD5k5U3Q6N__UjbAw,http://www.youtube.com/channel/UC54SLBnD5k5U3Q6N__UjbAw,Chinese Cooking Demystified
UC5Axef4J11DIu17y2RKVqNQ,http://www.youtube.com/channel/UC5Axef4J11DIu17y2RKVqNQ,The Present Past
UC5G1ThclVYLp2YFQUodTNnA,http://www.youtube.com/channel/UC5G1ThclVYLp2YFQUodTNnA,Timbah.On.Toast
UC5_HIscbiDZM0dMX-nCksuA,http://www.youtube.com/channel/UC5_HIscbiDZM0dMX-nCksuA,Casual Navigation
UC5k3Kc0avyDJ2nG9Kxm9JmQ,http://www.youtube.com/channel/UC5k3Kc0avyDJ2nG9Kxm9JmQ,Bright Sun Films
UC5nlKFUNoskvV5XdW6PbgYw,http://www.youtube.com/channel/UC5nlKFUNoskvV5XdW6PbgYw,A Well-Rested Dog
UC5wT-aIWaUcGoAZYfN2Gs-A,http://www.youtube.com/channel/UC5wT-aIWaUcGoAZYfN2Gs-A,Explained with Dom
UC6-JmqeHcRIdA3ErhyUXlfA,http://www.youtube.com/channel/UC6-JmqeHcRIdA3ErhyUXlfA,Undefined
UC6-ymYjG0SU0jUWnWh9ZzEQ,http://www.youtube.com/channel/UC6-ymYjG0SU0jUWnWh9ZzEQ,Wisecrack
UC67dKTEwpAhKv2oYDATwR8g,http://www.youtube.com/channel/UC67dKTEwpAhKv2oYDATwR8g,Silver Cymbal
UC6Iy6MUrQNqlBiYgK4ulAUA,http://www.youtube.com/channel/UC6Iy6MUrQNqlBiYgK4ulAUA,Edusplainer
UC6Sb9ovFAXgX9-MNSDaLl0g,http://www.youtube.com/channel/UC6Sb9ovFAXgX9-MNSDaLl0g,Infra
UC6biysICWOJ-C3P4Tyeggzg,http://www.youtube.com/channel/UC6biysICWOJ-C3P4Tyeggzg,Low Level Learning
UC6e33n2Ap73dqftpXc93Sfg,http://www.youtube.com/channel/UC6e33n2Ap73dqftpXc93Sfg,SnowiestAngeman
UC6juUGSJu-RvOFi6DgJe1HQ,http://www.youtube.com/channel/UC6juUGSJu-RvOFi6DgJe1HQ,Robert Tolppi
UC6mIxFTvXkWQVEHPsEdflzQ,http://www.youtube.com/channel/UC6mIxFTvXkWQVEHPsEdflzQ,GreatScott!
UC6me-RzbQFQ-kRyr6BlGZWg,http://www.youtube.com/channel/UC6me-RzbQFQ-kRyr6BlGZWg,Paul E.T.
UC6n8I1UDTKP1IWjQMg6_TwA,http://www.youtube.com/channel/UC6n8I1UDTKP1IWjQMg6_TwA,The B1M
UC79XEdkEUufFjw7bCcC6rtg,http://www.youtube.com/channel/UC79XEdkEUufFjw7bCcC6rtg,Tim Chin Walks
UC7Jwj9fkrf1adN4fMmTkpug,http://www.youtube.com/channel/UC7Jwj9fkrf1adN4fMmTkpug,DankPods
UC7Jx8j3giv0rsDX0wgz9uGQ,http://www.youtube.com/channel/UC7Jx8j3giv0rsDX0wgz9uGQ,Tribunate
UC7SHYB0rC9WSSpsjaYpnkgA,http://www.youtube.com/channel/UC7SHYB0rC9WSSpsjaYpnkgA,Frank Laundry
UC7ga3FLMFOOpMQwaYoW42bw,http://www.youtube.com/channel/UC7ga3FLMFOOpMQwaYoW42bw,Grist
UC7oBk3kaXuku1HAOUSpEtQQ,http://www.youtube.com/channel/UC7oBk3kaXuku1HAOUSpEtQQ,Samperson
UC88hPnTdmBsMlN2jXoj_nnQ,http://www.youtube.com/channel/UC88hPnTdmBsMlN2jXoj_nnQ,1000 Landings
